date,drones,drone_naf,target1,target3,unknown,unknown2,mil_act,ramadan
18443,0,0,0,0,0,0,0,0
18444,0,0,0,0,0,0,0,0
18445,0,0,0,0,0,0,1,0
18446,0,0,0,0,0,0,0,0
18447,0,0,0,0,0,0,0,0
18448,0,0,0,0,0,0,2,0
18449,0,0,0,0,0,0,3,0
18450,0,0,0,0,0,0,0,0
18451,0,0,0,0,0,0,1,0
18452,0,0,0,0,0,0,2,0
18453,0,0,0,0,0,0,2,0
18454,0,0,0,0,0,0,1,0
18455,0,0,0,0,0,0,2,0
18456,0,0,0,0,0,0,0,0
18457,0,0,0,0,0,0,1,0
18458,1,1,0,0,1,1,2,0
18459,0,0,0,0,0,0,2,0
18460,0,0,0,0,0,0,1,0
18461,0,0,0,0,0,0,1,0
18462,0,0,0,0,0,0,2,0
18463,0,0,0,0,0,0,1,0
18464,0,0,0,0,0,0,2,0
18465,0,0,0,0,0,0,3,0
18466,0,0,0,0,0,0,2,0
18467,1,1,1,0,0,1,0,0
18468,3,3,1,0,2,3,2,0
18469,0,0,0,0,0,0,2,0
18470,0,0,0,0,0,0,2,0
18471,0,0,0,0,0,0,0,0
18472,0,0,0,0,0,0,1,0
18473,0,0,0,0,0,0,0,0
18474,0,0,0,0,0,0,0,0
18475,0,0,0,0,0,0,2,0
18476,0,0,0,0,0,0,2,0
18477,0,0,0,0,0,0,0,0
18478,0,0,0,0,0,0,1,0
18479,0,0,0,0,0,0,0,0
18480,0,0,0,0,0,0,0,0
18481,0,0,0,0,0,0,0,0
18482,0,0,0,0,0,0,0,0
18483,0,0,0,0,0,0,0,0
18484,0,0,0,0,0,0,0,0
18485,0,0,0,0,0,0,1,1
18486,0,0,0,0,0,0,0,1
18487,0,0,0,0,0,0,0,1
18488,1,1,0,1,1,0,0,1
18489,0,0,0,0,0,0,0,1
18490,0,0,0,0,0,0,1,1
18491,0,0,0,0,0,0,0,1
18492,0,0,0,0,0,0,1,1
18493,0,0,0,0,0,0,1,1
18494,0,0,0,0,0,0,0,1
18495,1,1,0,0,1,1,0,1
18496,0,0,0,0,0,0,0,1
18497,2,2,0,0,2,2,1,1
18498,0,0,0,0,0,0,0,1
18499,0,0,0,0,0,0,0,1
18500,0,0,0,0,0,0,0,1
18501,3,1,0,0,1,1,1,1
18502,0,0,0,0,0,0,1,1
18503,0,0,0,0,0,0,0,1
